"repeat_id","scenario","model","metric","value","n_evaluated","evaluation_set","metric_status","metric_warning","unit"
1,"training_prevalence","logistic","log_loss",0.692672588741323,615,"same_complete_test_folds_615_per_repeat","available",,"logarithmic_score"
1,"training_prevalence","logistic","calibration_in_the_large",0.00000196191825218504,615,"same_complete_test_folds_615_per_repeat","available",,"log_odds"
1,"training_prevalence","logistic","calibration_slope",-9.0771530806151,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"primary","linear","r2",0.346534217248649,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"primary","linear","rmse",4.3233276327997,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"primary","linear","mae",3.4302194409463,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"primary","linear","mean_error",-0.02882507964709,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"primary","linear","calibration_intercept",-0.376692568452726,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"primary","linear","calibration_slope",0.924809135188394,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"influence_excluded_train_only","linear","r2",0.330338547598401,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"influence_excluded_train_only","linear","rmse",4.37657497858556,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"influence_excluded_train_only","linear","mae",3.40951846282181,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"influence_excluded_train_only","linear","mean_error",-0.211067248470384,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"influence_excluded_train_only","linear","calibration_intercept",-0.633065488625697,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"influence_excluded_train_only","linear","calibration_slope",0.905045543173624,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"hypercorrection_excluded_train_only","linear","r2",0.346648384853832,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"hypercorrection_excluded_train_only","linear","rmse",4.32294995003818,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"hypercorrection_excluded_train_only","linear","mae",3.43261897530814,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"hypercorrection_excluded_train_only","linear","mean_error",-0.0143982903080475,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"hypercorrection_excluded_train_only","linear","calibration_intercept",-0.409546823722065,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"hypercorrection_excluded_train_only","linear","calibration_slope",0.914854941263316,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"cobb_baseline_augmented","linear","r2",0.365587112898496,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"cobb_baseline_augmented","linear","rmse",4.25983444662561,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"cobb_baseline_augmented","linear","mae",3.42243569081845,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"cobb_baseline_augmented","linear","mean_error",-0.0326486184816884,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"cobb_baseline_augmented","linear","calibration_intercept",-0.370791522757119,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"cobb_baseline_augmented","linear","calibration_slope",0.926850630446204,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"training_mean_delta","linear","r2",-0.00117131782984869,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"training_mean_delta","linear","rmse",5.35132000793781,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"training_mean_delta","linear","mae",4.25134636696829,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"training_mean_delta","linear","mean_error",0.00020439052709342,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"training_mean_delta","linear","calibration_intercept",-46.5230672341053,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
2,"training_mean_delta","linear","calibration_slope",-8.99320848798508,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"primary","logistic","auc",0.844727203438274,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"primary","logistic","brier_score",0.1608671006631,615,"same_complete_test_folds_615_per_repeat","available",,"squared_probability_error"
2,"primary","logistic","log_loss",0.491517250118993,615,"same_complete_test_folds_615_per_repeat","available",,"logarithmic_score"
2,"primary","logistic","calibration_in_the_large",0.0191831341424274,615,"same_complete_test_folds_615_per_repeat","available",,"log_odds"
2,"primary","logistic","calibration_slope",0.855455727868989,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"influence_excluded_train_only","logistic","auc",0.832013634535177,615,"same_complete_test_folds_615_per_repeat","available_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred","proportion_or_slope"
2,"influence_excluded_train_only","logistic","brier_score",0.180787921104413,615,"same_complete_test_folds_615_per_repeat","available_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred","squared_probability_error"
2,"influence_excluded_train_only","logistic","log_loss",0.814336667989504,615,"same_complete_test_folds_615_per_repeat","available_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred","logarithmic_score"
2,"influence_excluded_train_only","logistic","calibration_in_the_large",0.0838973752020642,615,"same_complete_test_folds_615_per_repeat","available_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred","log_odds"
2,"influence_excluded_train_only","logistic","calibration_slope",0.280683677663865,615,"same_complete_test_folds_615_per_repeat","available_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred","proportion_or_slope"
2,"hypercorrection_excluded_train_only","logistic","auc",0.844748375076747,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"hypercorrection_excluded_train_only","logistic","brier_score",0.160867166817,615,"same_complete_test_folds_615_per_repeat","available",,"squared_probability_error"
2,"hypercorrection_excluded_train_only","logistic","log_loss",0.491517259802876,615,"same_complete_test_folds_615_per_repeat","available",,"logarithmic_score"
2,"hypercorrection_excluded_train_only","logistic","calibration_in_the_large",0.0191847229085023,615,"same_complete_test_folds_615_per_repeat","available",,"log_odds"
2,"hypercorrection_excluded_train_only","logistic","calibration_slope",0.855462522947698,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"training_prevalence","logistic","auc",0.498412127114517,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
2,"training_prevalence","logistic","brier_score",0.249762740707275,615,"same_complete_test_folds_615_per_repeat","available",,"squared_probability_error"
2,"training_prevalence","logistic","log_loss",0.692672588741323,615,"same_complete_test_folds_615_per_repeat","available",,"logarithmic_score"
