"term","estimate"
"(Intercept)",4.78975376149519
"cobb_inicial_maior",0.848512073590149
"idade",0.110076923110367
"imc",0.0192308019917382
"cifose_toracica",-0.0408169721941203
"lordose_lombar",-0.00803974656656144
"correcao_colete",-0.131010260030194
"sexomasculino",-0.8805795702051
"lenke2",0.113389402940509
"lenke3",3.48586795812734
"lenke4",4.01508175964085
"lenke5",0.585994233406799
"lenke6",2.16427098210312
"risser1",-2.34431712953392
"risser2",-1.9165527771688
"risser3",-1.11650617230846
"risser4",-1.07557869989482
"flexibilidaderigido",1.1750773917135
"escoliometro_maior_10_graustoracica",0.493131694848818
"escoliometro_maior_10_grauslombar",0.147141906145817
"escoliometro_maior_10_graustoracica_lombar",3.24128569551537
