"panel","x","smooth"
"residuo_vs_ajustado",-19.2491842369055,2.38692059597541
"residuo_vs_ajustado",-19.2491842369055,2.38692059597541
"residuo_vs_ajustado",-14.940525922537,1.48578927733925
"residuo_vs_ajustado",-14.940525922537,1.48578927733925
"residuo_vs_ajustado",-14.185870086553,1.34397395993825
"residuo_vs_ajustado",-14.185870086553,1.34397395993824
"residuo_vs_ajustado",-13.5585602185526,1.23202052336477
"residuo_vs_ajustado",-13.0337825807908,1.14040954205821
"residuo_vs_ajustado",-12.9542680437921,1.12640534116739
"residuo_vs_ajustado",-12.9542680437921,1.12640534116739
"residuo_vs_ajustado",-12.2156108637869,0.985303659333384
"residuo_vs_ajustado",-12.2156108637869,0.985303659333384
"residuo_vs_ajustado",-12.1773485349559,0.977017031745712
"residuo_vs_ajustado",-12.1773485349559,0.977017031745712
"residuo_vs_ajustado",-11.4156923615671,0.777855505780729
"residuo_vs_ajustado",-11.4156923615671,0.777855505780729
"residuo_vs_ajustado",-11.3888877775805,0.769186077988544
"residuo_vs_ajustado",-11.3888877775805,0.769186077988543
"residuo_vs_ajustado",-11.2060349563298,0.710045845436429
"residuo_vs_ajustado",-11.1447927068795,0.691010860003251
"residuo_vs_ajustado",-11.1438338829325,0.690712843519083
"residuo_vs_ajustado",-10.8487675166409,0.598450205208781
"residuo_vs_ajustado",-10.8487675166409,0.598450205208776
"residuo_vs_ajustado",-10.7632554467563,0.571541625706596
"residuo_vs_ajustado",-10.6908378098339,0.548753547449098
"residuo_vs_ajustado",-10.385517333422,0.452656767062499
"residuo_vs_ajustado",-10.385517333422,0.452656767062499
"residuo_vs_ajustado",-10.3200428049021,0.432290472159835
"residuo_vs_ajustado",-10.3200428049021,0.432290472159835
"residuo_vs_ajustado",-10.2253440485615,0.402833783549076
"residuo_vs_ajustado",-10.2253440485615,0.402833783549076
"residuo_vs_ajustado",-10.1712185496022,0.385997681045148
"residuo_vs_ajustado",-10.1712185496022,0.385997681045148
"residuo_vs_ajustado",-10.0693772418685,0.355137212107213
"residuo_vs_ajustado",-10.069133284758,0.355063286987836
"residuo_vs_ajustado",-9.94860215509848,0.318539333538225
"residuo_vs_ajustado",-9.84198447522108,0.287776219738297
"residuo_vs_ajustado",-9.84198447522108,0.287776219738297
"residuo_vs_ajustado",-9.83696538204111,0.286328027141673
"residuo_vs_ajustado",-9.8176603076602,0.280757804634685
"residuo_vs_ajustado",-9.8176603076602,0.280757804634685
"residuo_vs_ajustado",-9.72563303865039,0.254204559877335
"residuo_vs_ajustado",-9.53589377398164,0.20332843018005
"residuo_vs_ajustado",-9.53589377398164,0.203328430180049
"residuo_vs_ajustado",-9.53589377398164,0.203328430180049
"residuo_vs_ajustado",-9.40798067325145,0.171589405044474
"residuo_vs_ajustado",-9.40798067325145,0.171589405044474
"residuo_vs_ajustado",-9.13423675892229,0.110519288839568
"residuo_vs_ajustado",-9.11070717977652,0.105585193505668
"residuo_vs_ajustado",-8.99681749984106,0.0817028055178804
"residuo_vs_ajustado",-8.99681749984106,0.0817028055178804
"residuo_vs_ajustado",-8.99176706061846,0.0806437407361435
"residuo_vs_ajustado",-8.9533150807067,0.0725804543727793
"residuo_vs_ajustado",-8.9533150807067,0.0725804543727789
"residuo_vs_ajustado",-8.92115607134429,0.065836788578555
"residuo_vs_ajustado",-8.81741748604552,0.044890563097528
"residuo_vs_ajustado",-8.81741748604552,0.044890563097528
"residuo_vs_ajustado",-8.75519337166198,0.032326671595814
"residuo_vs_ajustado",-8.75519337166198,0.032326671595814
"residuo_vs_ajustado",-8.72735432697008,0.0267055914006933
"residuo_vs_ajustado",-8.72735432697008,0.0267055914006933
"residuo_vs_ajustado",-8.60144526485286,0.0055729185695856
"residuo_vs_ajustado",-8.60144526485285,0.00557291856958322
"residuo_vs_ajustado",-8.57790506603059,0.001621913679825
"residuo_vs_ajustado",-8.57790506603059,0.001621913679825
"residuo_vs_ajustado",-8.45128297661287,-0.0138096698199977
"residuo_vs_ajustado",-8.44015758420347,-0.0151655345251488
"residuo_vs_ajustado",-8.44015758420347,-0.0151655345251488
"residuo_vs_ajustado",-8.42833723319639,-0.0166060946549165
"residuo_vs_ajustado",-8.42833723319639,-0.0166060946549165
"residuo_vs_ajustado",-8.40750922258851,-0.0191444288927159
"residuo_vs_ajustado",-8.40687099484628,-0.0192222104610135
"residuo_vs_ajustado",-8.40687099484628,-0.0192222104610135
"residuo_vs_ajustado",-8.35815576543642,-0.0251591929717933
"residuo_vs_ajustado",-8.3581557654364,-0.025159192971795
"residuo_vs_ajustado",-8.33874944106459,-0.0275242646298723
"residuo_vs_ajustado",-8.33622618490828,-0.0278317768360483
"residuo_vs_ajustado",-8.33622618490826,-0.0278317768360503
"residuo_vs_ajustado",-8.31366988214917,-0.0294695952374619
