"family","scope","repeat_id","outer_fold","config_id","alpha","lambda_fraction","mean_metric","sd_metric","se_metric","n_valid","n_converged","failure_reasons","n_failed","one_se_threshold","eligible_one_se","selected_one_se"
"logistic","outer",1,1,18,0.5,0.001,0.494565892632919,0.0284616492391838,0.012728436490114,5,5,"none",0,0.491578719283226,FALSE,FALSE
"logistic","outer",1,1,19,0.75,0.001,0.491277386083522,0.0252904501415704,0.0113102331396241,5,5,"none",0,0.491578719283226,TRUE,FALSE
"logistic","outer",1,1,20,1,0.001,0.48819809031561,0.0233095612666167,0.0104243527035702,5,5,"none",0,0.491578719283226,TRUE,FALSE
"continuous","outer",1,2,1,0,1,5.24062131365059,0.432400247226962,0.19337526925744,5,5,"none",0,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,2,0.25,1,5.35898423412651,0.44324615270701,0.198225705643625,5,5,"none",0,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,3,0.5,1,5.35898423412651,0.44324615270701,0.198225705643625,5,5,"none",0,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,4,0.75,1,5.35898423412651,0.44324615270701,0.198225705643625,5,5,"none",0,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,5,1,1,5.35898423412651,0.44324615270701,0.198225705643625,5,5,"none",0,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,6,0,0.1,4.70176882388464,0.376740453782302,0.168483452906269,5,5,"none",0,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,7,0.25,0.1,5.13992092481583,0.425534855693589,0.190304972825286,5,5,"none",0,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,8,0.5,0.1,5.35898423412651,0.443246152707009,0.198225705643625,5,5,"none",0,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,9,0.75,0.1,5.35898423412651,0.443246152707009,0.198225705643625,5,5,"none",0,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,10,1,0.1,5.35898423412651,0.443246152707009,0.198225705643625,5,5,"none",0,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,11,0,0.01,4.18830141767948,0.251425189665585,0.112440763069605,5,5,"none",0,4.20519685065861,TRUE,TRUE
"continuous","outer",1,2,12,0.25,0.01,4.24430202550455,0.279698119920069,0.125084801864033,5,5,"none",0,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,13,0.5,0.01,4.319897415374,0.299475732731615,0.13392961919989,5,5,"none",0,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,14,0.75,0.01,4.39790860670922,0.321250014286213,0.14366737394335,5,5,"none",0,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,15,1,0.01,4.48522015677289,0.3383366702047,0.151308758771728,5,5,"none",0,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,16,0,0.001,4.12891726925316,0.170566329317819,0.0762795814054517,5,5,"none",0,4.20519685065861,TRUE,FALSE
"continuous","outer",1,2,17,0.25,0.001,4.13015679783122,0.176979974935334,0.079147850922323,5,5,"none",0,4.20519685065861,TRUE,FALSE
"continuous","outer",1,2,18,0.5,0.001,4.13191310902601,0.181881499462775,0.0813398793296711,5,5,"none",0,4.20519685065861,TRUE,FALSE
"continuous","outer",1,2,19,0.75,0.001,,,,0,0,"kkt_not_met",5,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,20,1,0.001,,,,4,4,"kkt_not_met",1,4.20519685065861,FALSE,FALSE
"logistic","outer",1,2,1,0,1,0.645478542414329,0.00710622679523347,0.0031780012355345,5,5,"none",0,0.465823435740627,FALSE,FALSE
"logistic","outer",1,2,2,0.25,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.465823435740627,FALSE,FALSE
"logistic","outer",1,2,3,0.5,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.465823435740627,FALSE,FALSE
"logistic","outer",1,2,4,0.75,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.465823435740627,FALSE,FALSE
"logistic","outer",1,2,5,1,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.465823435740627,FALSE,FALSE
"logistic","outer",1,2,6,0,0.1,0.527807883362727,0.0231481877658204,0.0103521842800607,5,5,"none",0,0.465823435740627,FALSE,FALSE
"logistic","outer",1,2,7,0.25,0.1,0.618480375332704,0.0123280451765645,0.00551326940889732,5,5,"none",0,0.465823435740627,FALSE,FALSE
"logistic","outer",1,2,8,0.5,0.1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.465823435740627,FALSE,FALSE
"logistic","outer",1,2,9,0.75,0.1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.465823435740627,FALSE,FALSE
"logistic","outer",1,2,10,1,0.1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.465823435740627,FALSE,FALSE
"logistic","outer",1,2,11,0,0.01,0.456886918490502,0.0331398093921842,0.014820573312462,5,5,"none",0,0.465823435740627,TRUE,TRUE
"logistic","outer",1,2,12,0.25,0.01,0.474277323249808,0.0344795060154827,0.0154197038562464,5,5,"none",0,0.465823435740627,FALSE,FALSE
"logistic","outer",1,2,13,0.5,0.01,0.495230671116487,0.0350495863578992,0.0156746515359024,5,5,"none",0,0.465823435740627,FALSE,FALSE
"logistic","outer",1,2,14,0.75,0.01,0.512095795334337,0.0356682612802857,0.0159513313723885,5,5,"none",0,0.465823435740627,FALSE,FALSE
"logistic","outer",1,2,15,1,0.01,0.520819257071342,0.033504259404249,0.0149835603127375,5,5,"none",0,0.465823435740627,FALSE,FALSE
"logistic","outer",1,2,16,0,0.001,0.458130538684637,0.0323642552525144,0.0144737349571553,5,5,"none",0,0.465823435740627,TRUE,FALSE
"logistic","outer",1,2,17,0.25,0.001,0.45601018126529,0.0316018198412075,0.0141327634755283,5,5,"none",0,0.465823435740627,TRUE,FALSE
