"term","estimate","std_error_classic","std_error_hc3","se_ratio_hc3_to_classic","p_value_classic","p_value_hc3","conf_low_classic","conf_high_classic","conf_low_hc3","conf_high_hc3","crosses_zero_classic","crosses_zero_hc3"
"(Intercept)",0.154000887786247,2.35151540208959,2.40326065551798,1.02200506676775,0.947805816839635,0.948928066985789,-4.46427890217788,4.77228067775037,-4.56590445730821,4.8739062328807,TRUE,TRUE
"idade",0.065197340596463,0.134669739106541,0.131608618716465,0.977269426595867,0.628473440509459,0.620509110947713,-0.199288502822982,0.329683184015908,-0.193276587944782,0.323671269137708,TRUE,TRUE
"imc",0.00609014530726535,0.0607702634411607,0.0598514449816416,0.984880459496301,0.920206697870458,0.918985935929714,-0.11326015928003,0.12544044989456,-0.111455637515693,0.123635928130224,TRUE,TRUE
"cifose_toracica",-0.0351216354125182,0.0179080436038877,0.017362392955705,0.969530415479651,0.0503191876919705,0.043534635692975,-0.070292298458203,0.0000490276331665609,-0.0692206629678958,-0.00102260785714066,TRUE,FALSE
"lordose_lombar",-0.0115428342899372,0.0170637612601569,0.0174431932701972,1.02223612978729,0.499015877568587,0.50839494887542,-0.045055361445204,0.0219696928653297,-0.0458005503485287,0.0227148817686544,TRUE,TRUE
"correcao_colete",-0.123927873842495,0.0091195854171348,0.00938743313676983,1.02937060265171,0.000000000000000000000000000000000000795931225220258,0.000000000000000000000000000000000043991191257997,-0.141838365514112,-0.106017382170877,-0.142364407448296,-0.105491340236694,FALSE,FALSE
"sexomasculino",-0.612243441955467,0.59932860663981,0.67478757140939,1.12590582851142,0.307409645525368,0.364608682007843,-1.78930024078928,0.56481335687835,-1.93749855225146,0.713011668340521,TRUE,TRUE
"lenke2",0.245509641487174,0.971848426059204,1.12106796391081,1.15354198643577,0.800648092157195,0.826728094948388,-1.66316080183177,2.15418008480612,-1.9562218531502,2.44724113612454,TRUE,TRUE
"lenke3",3.74935615317449,0.797302873265754,0.829963434058993,1.04096380671433,0.0000031966545541406,0.00000754916509103579,2.1834860156404,5.31522629070858,2.11934201398671,5.37937029236227,FALSE,FALSE
"lenke4",4.18611908574738,0.894938186779372,0.943646284882013,1.05442621492991,0.00000359631067598482,0.0000109137384498277,2.42849719749711,5.94374097399766,2.33283649084168,6.03940168065309,FALSE,FALSE
"lenke5",1.13048428564448,0.951570527906199,1.04303554689155,1.09612006288867,0.235299750795753,0.278874463887189,-0.738361197506333,2.99932976879528,-0.917994742876003,3.17896331416495,TRUE,TRUE
"lenke6",2.31443434759802,0.803153579782116,0.816704300189969,1.01687189193819,0.00409824191504615,0.00475480161871309,0.737073662463217,3.89179503273283,0.710460603436077,3.91840809175997,FALSE,FALSE
"risser1",-2.56891366122573,0.593172504302192,0.676285710804644,1.14011641790482,0.0000174343700414025,0.000160491017030576,-3.7338801275933,-1.40394719485816,-3.89711105583995,-1.24071626661151,FALSE,FALSE
"risser2",-1.99342886344444,0.566745809274226,0.633643729514719,1.11803866768095,0.000469154109654297,0.00173799017478441,-3.10649438480661,-0.880363342082273,-3.23787915598981,-0.748978570899077,FALSE,FALSE
"risser3",-1.26711049716004,0.56232158746177,0.558375946671392,0.992983301942599,0.0246000250983336,0.0236085344617637,-2.37148702836521,-0.162733965954869,-2.36373795170406,-0.170483042616016,FALSE,FALSE
"risser4",-0.913373954489576,0.658075045023789,0.697848468839661,1.06043903976701,0.165672366754151,0.191092880672097,-2.20580634851619,0.379058439537033,-2.28391972137494,0.457171812395783,TRUE,TRUE
"flexibilidaderigido",0.827868480037586,0.370509734796824,0.357745049831561,0.96554831421025,0.0258270717482243,0.0210003139839453,0.100202559297021,1.55553440077815,0.125271876958284,1.53046508311689,FALSE,FALSE
"escoliometro_maior_10_graustoracica",-0.0525009055703781,0.517548775177507,0.481990645420235,0.931295113692278,0.919234196701707,0.913298578453238,-1.06894547004102,0.963943658900265,-0.999110761800964,0.894108950660207,TRUE,TRUE
"escoliometro_maior_10_grauslombar",-0.381654502303094,0.488155709289593,0.477472305431338,0.978114762042212,0.434625817029121,0.424422228841743,-1.34037229108066,0.577063286474475,-1.3193905241389,0.556081519532714,TRUE,TRUE
"escoliometro_maior_10_graustoracica_lombar",2.69904565124078,0.734933356867708,0.682015329526789,0.927996155234461,0.000261819396264904,0.0000848996174724619,1.25566668549956,4.142424616982,1.35959552048663,4.03849578199493,FALSE,FALSE
