"fitted_band","n","fitted_min","fitted_max","fitted_mean","residual_mean","residual_sd","residual_mean_absolute","residual_rmse"
1,124,-19.2491842369055,-7.29305275455196,-9.41544039962517,0.0606016899477535,4.1021538986773,3.5015956903747,4.08602890157182
2,122,-7.2431557510189,-5.50684723218216,-6.34748076153482,-0.25087989420288,4.18890796202699,3.44791981888915,4.17924193811918
3,123,-5.5047171136083,-3.82217421958387,-4.65577552343481,-0.441785452174945,4.64931598678602,3.44461604375878,4.6514054394429
4,123,-3.8217825279841,-1.6759392239554,-2.77525978306619,0.864690677375133,3.93930433496034,3.22509601519779,4.01741770852496
5,123,-1.66748518224767,5.07076238823984,-0.0575235352813561,-0.235159391547912,3.67591669554487,2.79549236299821,3.66848836413175
