"model","term","x","component_residual_smooth"
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",10,1.15283890177651
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
"linear","idade",11,1.16679865516687
