"family","repeat_id","outer_fold","config_id","alpha","lambda_fraction","lambda","lambda_max","best_mean_metric","best_se_metric","one_se_threshold","selected_mean_metric","selected_se_metric","converged","objective","kkt_max","failure_reason","n_features"
"continuous",2,6,11,0,0.01,0.560635522972102,56.0635522972101,4.20084124771605,0.150756296714216,4.35159754443027,4.23176463819238,0.184679375753315,TRUE,9.1642766494305,0.00000000718573972026404,,48
"logistic",2,6,11,0,0.01,0.0517865084718751,5.17865084718751,0.490796314776668,0.0150252911054463,0.505821605882114,0.490796314776668,0.0150252911054463,TRUE,0.47650923122914,0.000000000132679062181396,,48
"continuous",2,7,11,0,0.01,0.56889755334656,56.8897553346559,4.12060202550295,0.151188149265758,4.27179017476871,4.18943123980582,0.168792920225873,TRUE,8.98615452702538,0.00000000629613602226575,,48
"logistic",2,7,11,0,0.01,0.0538206335069728,5.38206335069727,0.482997835824858,0.0238297591962312,0.506827595021089,0.483349927120956,0.0178250225448143,TRUE,0.467531514343783,0.000000000101271444355455,,48
"continuous",2,8,11,0,0.01,0.577034989933833,57.7034989933833,4.22044924741563,0.0908963046460482,4.31134555206167,4.23038781420425,0.0896678422234987,TRUE,8.90229327862123,0.00000000564559465149328,,48
"logistic",2,8,11,0,0.01,0.0529233480321278,5.29233480321278,0.468483275887434,0.0213014943290036,0.489784770216438,0.468483275887434,0.0213014943290036,TRUE,0.456193165830913,0.00000000000497217544914719,,48
"continuous",2,9,11,0,0.01,0.564653033263185,56.4653033263185,4.21193198878174,0.17192628846886,4.3838582772506,4.2395592455338,0.193543349719451,TRUE,9.08573318077853,0.00000000766988919598255,,48
"logistic",2,9,11,0,0.01,0.0518894426384338,5.18894426384338,0.484581325541847,0.0270898582350019,0.511671183776849,0.484581325541847,0.0270898582350019,TRUE,0.467555011176643,0.00000000000709857476619002,,48
"continuous",2,10,11,0,0.01,0.551592674309308,55.1592674309308,4.15806039486366,0.0898898217033001,4.24795021656696,4.22452695725608,0.0788176401187566,TRUE,9.14802930234922,0.00000000502364416038459,,48
"logistic",2,10,11,0,0.01,0.0516975352505174,5.16975352505174,0.476677718618428,0.0224642302591209,0.499141948877549,0.477015829876836,0.0192053409246542,TRUE,0.46532832849604,0.000000000129928021466719,,48
"continuous",3,1,11,0,0.01,0.580571599573314,58.0571599573314,4.17405908393063,0.112330965196734,4.28639004912736,4.20509871154991,0.118887622082514,TRUE,9.15890560310412,0.00000000531558515953767,,48
"logistic",3,1,11,0,0.01,0.0529164079757498,5.29164079757497,0.47067820514427,0.0260317301044355,0.496709935248705,0.47067820514427,0.0260317301044355,TRUE,0.46117052822191,0.00000000000405774372436163,,48
