"scenario","model","term","primary_estimate","sensitivity_estimate","difference","absolute_difference","absolute_relative_change","sign_changed"
"influential_linear","linear","(Intercept)",0.154000887786247,-0.218711692172304,-0.37271257995855,0.37271257995855,2.4201976061065,TRUE
"influential_linear","linear","idade",0.065197340596463,0.101624624494368,0.0364272838979054,0.0364272838979054,0.558723462715619,FALSE
"influential_linear","linear","imc",0.00609014530726535,0.00692205508033949,0.000831909773074141,0.000831909773074141,0.136599330738743,FALSE
"influential_linear","linear","cifose_toracica",-0.0351216354125182,-0.048533862497521,-0.0134122270850028,0.0134122270850028,0.38187934381388,FALSE
"influential_linear","linear","lordose_lombar",-0.0115428342899372,0.0100717952926921,0.0216146295826292,0.0216146295826292,1.87255825040064,TRUE
"influential_linear","linear","correcao_colete",-0.123927873842495,-0.123263523500508,0.000664350341987058,0.000664350341987058,0.00536078221459209,FALSE
"influential_linear","linear","sexomasculino",-0.612243441955467,-0.301784033926813,0.310459408028654,0.310459408028654,0.50708490569873,FALSE
"influential_linear","linear","lenke2",0.245509641487174,-1.33668320737678,-1.58219284886395,1.58219284886395,6.44452429354637,TRUE
"influential_linear","linear","lenke3",3.74935615317449,3.43606360711921,-0.313292546055282,0.313292546055282,0.0835590254049417,FALSE
"influential_linear","linear","lenke4",4.18611908574738,3.65501501176732,-0.531104073980062,0.531104073980062,0.126872662506981,FALSE
"influential_linear","linear","lenke5",1.13048428564448,0.0518359284317945,-1.07864835721268,1.07864835721268,0.954147148182389,FALSE
"influential_linear","linear","lenke6",2.31443434759802,1.90987608126538,-0.404558266332646,0.404558266332646,0.174797901159956,FALSE
"influential_linear","linear","risser1",-2.56891366122573,-3.39533360017795,-0.826419938952225,0.826419938952225,0.32170016121052,FALSE
"influential_linear","linear","risser2",-1.99342886344444,-1.81540481506232,0.178024048382117,0.178024048382117,0.0893054433226727,FALSE
"influential_linear","linear","risser3",-1.26711049716004,-1.36942434659013,-0.102313849430091,0.102313849430091,0.0807457989334049,FALSE
"influential_linear","linear","risser4",-0.913373954489576,-1.48407770637148,-0.5707037518819,0.5707037518819,0.624830332720434,FALSE
"influential_linear","linear","flexibilidaderigido",0.827868480037586,0.823225473004675,-0.00464300703291043,0.00464300703291043,0.00560838725578685,FALSE
"influential_linear","linear","escoliometro_maior_10_graustoracica",-0.0525009055703781,-0.567797187542955,-0.515296281972577,0.515296281972577,9.81499797716471,FALSE
"influential_linear","linear","escoliometro_maior_10_grauslombar",-0.381654502303094,-0.188923383802987,0.192731118500107,0.192731118500107,0.504988457720454,FALSE
