"scenario","model","metric","unit","evaluation_set","mean_across_repeats","minimum_across_repeats","maximum_across_repeats","n_repeats","n_repeats_available","interval_status"
"primary","logistic","calibration_in_the_large","log_odds","same_complete_test_folds_615_per_repeat",0.00829719924572828,-0.00153229445134118,0.0191831341424274,5,5,"range_across_repeats_not_confidence_interval"
"primary","logistic","calibration_slope","proportion_or_slope","same_complete_test_folds_615_per_repeat",0.862727041104184,0.852692252892586,0.871131083239615,5,5,"range_across_repeats_not_confidence_interval"
"influence_excluded_train_only","logistic","auc","proportion_or_slope","same_complete_test_folds_615_per_repeat",0.836427921156818,0.832013634535177,0.838947346135117,5,5,"range_across_repeats_not_confidence_interval"
"influence_excluded_train_only","logistic","brier_score","squared_probability_error","same_complete_test_folds_615_per_repeat",0.177539535403993,0.172865454248984,0.180787921104413,5,5,"range_across_repeats_not_confidence_interval"
"influence_excluded_train_only","logistic","log_loss","logarithmic_score","same_complete_test_folds_615_per_repeat",0.766946588847229,0.747436479067559,0.814336667989504,5,5,"range_across_repeats_not_confidence_interval"
"influence_excluded_train_only","logistic","calibration_in_the_large","log_odds","same_complete_test_folds_615_per_repeat",0.0769193327587519,-0.0403894843125833,0.185497649246963,5,5,"range_across_repeats_not_confidence_interval"
"influence_excluded_train_only","logistic","calibration_slope","proportion_or_slope","same_complete_test_folds_615_per_repeat",0.302217966600156,0.280683677663865,0.310162322665854,5,5,"range_across_repeats_not_confidence_interval"
"hypercorrection_excluded_train_only","logistic","auc","proportion_or_slope","same_complete_test_folds_615_per_repeat",0.8452967205132,0.84354159168378,0.84664323672009,5,5,"range_across_repeats_not_confidence_interval"
"hypercorrection_excluded_train_only","logistic","brier_score","squared_probability_error","same_complete_test_folds_615_per_repeat",0.160472982281269,0.159535261292499,0.161869781946513,5,5,"range_across_repeats_not_confidence_interval"
"hypercorrection_excluded_train_only","logistic","log_loss","logarithmic_score","same_complete_test_folds_615_per_repeat",0.489570056268118,0.487106990607999,0.492616696357,5,5,"range_across_repeats_not_confidence_interval"
"hypercorrection_excluded_train_only","logistic","calibration_in_the_large","log_odds","same_complete_test_folds_615_per_repeat",0.00829874538054817,-0.00153051507865291,0.0191847229085023,5,5,"range_across_repeats_not_confidence_interval"
"hypercorrection_excluded_train_only","logistic","calibration_slope","proportion_or_slope","same_complete_test_folds_615_per_repeat",0.862734062844982,0.85269891970124,0.871138525368956,5,5,"range_across_repeats_not_confidence_interval"
"training_prevalence","logistic","auc","proportion_or_slope","same_complete_test_folds_615_per_repeat",0.498412127114517,0.498412127114517,0.498412127114517,5,5,"range_across_repeats_not_confidence_interval"
"training_prevalence","logistic","brier_score","squared_probability_error","same_complete_test_folds_615_per_repeat",0.249762740707275,0.249762740707275,0.249762740707275,5,5,"range_across_repeats_not_confidence_interval"
"training_prevalence","logistic","log_loss","logarithmic_score","same_complete_test_folds_615_per_repeat",0.692672588741323,0.692672588741323,0.692672588741323,5,5,"range_across_repeats_not_confidence_interval"
"training_prevalence","logistic","calibration_in_the_large","log_odds","same_complete_test_folds_615_per_repeat",0.00000196191825182149,0.00000196191825139274,0.00000196191825231551,5,5,"range_across_repeats_not_confidence_interval"
"training_prevalence","logistic","calibration_slope","proportion_or_slope","same_complete_test_folds_615_per_repeat",-9.07715308066576,-9.07715308070002,-9.0771530806151,5,5,"range_across_repeats_not_confidence_interval"
