"metric","direction","apparent","n_valid","n_failed","mean_optimism","corrected","model"
"r2","benefit",0.402943114063757,2000,0,0.0392802656557061,0.363662848408051,"linear"
"rmse","error",4.13251633220789,2000,0,0.143830204005048,4.27634653621294,"linear"
"mae","error",3.28303126408354,2000,0,0.111407417987802,3.39443868207134,"linear"
"mean_error","target",-0.000000000000000209859230264511,2000,0,-0.00475985053112027,0.00475985053112006,"linear"
"calibration_intercept","target",0.0000000000000139998162521017,2000,0,0.191467302431789,-0.191467302431775,"linear"
"calibration_slope","target",1,2000,0,0.0419497704867534,0.958050229513248,"linear"
"auc","benefit",0.86741790697182,2000,0,0.019102600403661,0.84831530656816,"logistic"
"brier_score","error",0.14771746002286,2000,0,0.0123314847413455,0.160048944764206,"logistic"
"log_loss","error",0.45481499881369,2000,0,0.0344070616721679,0.489222060485858,"logistic"
"calibration_in_the_large","target",0.000000000756720780891315,2000,0,0.00180890855240484,-0.00180890779568406,"logistic"
"calibration_slope","target",1.00000000331318,2000,0,0.116450622385416,0.883549380927767,"logistic"
