"model","calibration_slope_corrected","shrinkage_factor","intercept_apparent","intercept_recalibrated","target_observed","target_predicted_after_recalibration"
"linear",0.958050229513248,0.958050229513248,0.154000887786247,-0.0477475326535348,-4.65528455284553,-4.65528455284553
"logistic",0.883549380927767,0.883549380927767,-3.23003250529996,-2.85706216267901,0.515447154471545,0.515447154471544
