"family","scope","repeat_id","outer_fold","config_id","alpha","lambda_fraction","mean_metric","sd_metric","se_metric","n_valid","n_converged","one_se_threshold","eligible_one_se","selected_one_se"
"continuous","outer",1,1,1,0,1,5.32384092772272,0.326567558374544,0.146045451954322,5,5,4.31898002522117,FALSE,FALSE
"continuous","outer",1,1,2,0.25,1,5.44598973136985,0.327859736400353,0.14662333153527,5,5,4.31898002522117,FALSE,FALSE
"continuous","outer",1,1,3,0.5,1,5.44598973136985,0.327859736400353,0.14662333153527,5,5,4.31898002522117,FALSE,FALSE
"continuous","outer",1,1,4,0.75,1,5.44598973136985,0.327859736400353,0.14662333153527,5,5,4.31898002522117,FALSE,FALSE
"continuous","outer",1,1,5,1,1,5.44598973136985,0.327859736400353,0.14662333153527,5,5,4.31898002522117,FALSE,FALSE
"continuous","outer",1,1,6,0,0.1,4.75573882773534,0.310734917775901,0.138964879825945,5,5,4.31898002522117,FALSE,FALSE
"continuous","outer",1,1,7,0.25,0.1,5.21854958426704,0.337990439051137,0.151153919492668,5,5,4.31898002522117,FALSE,FALSE
"continuous","outer",1,1,8,0.5,0.1,5.44598973136985,0.327859736400353,0.14662333153527,5,5,4.31898002522117,FALSE,FALSE
"continuous","outer",1,1,9,0.75,0.1,5.44598973136985,0.327859736400353,0.14662333153527,5,5,4.31898002522117,FALSE,FALSE
"continuous","outer",1,1,10,1,0.1,5.44598973136985,0.327859736400353,0.14662333153527,5,5,4.31898002522117,FALSE,FALSE
"continuous","outer",1,1,11,0,0.01,4.23818791551634,0.180656649345638,0.0807921097048381,5,5,4.31898002522117,TRUE,TRUE
"continuous","outer",1,1,12,0.25,0.01,4.29630232202402,0.228577650570934,0.10222303296276,5,5,4.31898002522117,TRUE,FALSE
"continuous","outer",1,1,13,0.5,0.01,4.366824929043,0.293168186601965,0.131108798816467,5,5,4.31898002522117,FALSE,FALSE
"continuous","outer",1,1,14,0.75,0.01,4.43729996949436,0.342684120541994,0.153252997668326,5,5,4.31898002522117,FALSE,FALSE
"continuous","outer",1,1,15,1,0.01,4.52268869130265,0.346851529050072,0.155116719411141,5,5,4.31898002522117,FALSE,FALSE
"continuous","outer",1,1,16,0,0.001,4.26315441562837,0.13637161679522,0.0609872410711326,5,5,4.31898002522117,TRUE,FALSE
"continuous","outer",1,1,17,0.25,0.001,4.25448327476937,0.129309042397336,0.057828761781169,5,5,4.31898002522117,TRUE,FALSE
"continuous","outer",1,1,18,0.5,0.001,4.25261907225319,0.126623295200529,0.056627659120681,5,5,4.31898002522117,TRUE,FALSE
"continuous","outer",1,1,19,0.75,0.001,4.25528926812536,0.128345054385127,0.0573976532362101,5,1,4.31898002522117,TRUE,FALSE
"continuous","outer",1,1,20,1,0.001,4.25785921329982,0.129415644547275,0.0578764357119315,5,5,4.31898002522117,TRUE,FALSE
"logistic","outer",1,1,1,0,1,0.579280468716191,0.0169299198665913,0.00757129033506446,5,5,0.494688571300333,FALSE,FALSE
"logistic","outer",1,1,2,0.25,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,0.494688571300333,FALSE,FALSE
"logistic","outer",1,1,3,0.5,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,0.494688571300333,FALSE,FALSE
"logistic","outer",1,1,4,0.75,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,0.494688571300333,FALSE,FALSE
"logistic","outer",1,1,5,1,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,0.494688571300333,FALSE,FALSE
"logistic","outer",1,1,6,0,0.1,0.488079940343461,0.0174884311376802,0.00782106416873537,5,5,0.494688571300333,TRUE,TRUE
"logistic","outer",1,1,7,0.25,0.1,0.517808274127435,0.0362415542397326,0.0162077157780576,5,5,0.494688571300333,FALSE,FALSE
"logistic","outer",1,1,8,0.5,0.1,0.546683290138203,0.0371545718911201,0.0166160296846895,5,5,0.494688571300333,FALSE,FALSE
"logistic","outer",1,1,9,0.75,0.1,0.559045188158133,0.0320175976678644,0.0143187049723167,5,5,0.494688571300333,FALSE,FALSE
"logistic","outer",1,1,10,1,0.1,0.571938836430081,0.0269742834069906,0.0120632662684751,5,5,0.494688571300333,FALSE,FALSE
"logistic","outer",1,1,11,0,0.01,0.49757483081007,0.0340734912465197,0.0152381285315924,5,5,0.494688571300333,FALSE,FALSE
"logistic","outer",1,1,12,0.25,0.01,0.493177720167029,0.0281606279144232,0.0125938156611457,5,5,0.494688571300333,TRUE,FALSE
"logistic","outer",1,1,13,0.5,0.01,0.490077604668514,0.0238739097031447,0.0106767369969847,5,5,0.494688571300333,TRUE,FALSE
"logistic","outer",1,1,14,0.75,0.01,0.486826652464169,0.0223182557486875,0.00998102739865814,5,5,0.494688571300333,TRUE,FALSE
"logistic","outer",1,1,15,1,0.01,0.484978833527176,0.021711633704476,0.00970973777315678,5,5,0.494688571300333,TRUE,FALSE
"logistic","outer",1,1,16,0,0.001,0.51964534842246,0.0552454008763528,0.0247064943607503,5,0,0.494688571300333,FALSE,FALSE
"logistic","outer",1,1,17,0.25,0.001,0.519029770905358,0.0547445127496311,0.0244824903806558,5,0,0.494688571300333,FALSE,FALSE
"logistic","outer",1,1,18,0.5,0.001,0.518740293005519,0.0542446264939007,0.0242589344508896,5,0,0.494688571300333,FALSE,FALSE
"logistic","outer",1,1,19,0.75,0.001,0.518737954857755,0.0536620316402496,0.0239983901116685,5,0,0.494688571300333,FALSE,FALSE
"logistic","outer",1,1,20,1,0.001,0.519073530528572,0.0529870616552534,0.0236965343578238,5,0,0.494688571300333,FALSE,FALSE
"continuous","outer",1,2,1,0,1,5.24062131365059,0.432400247226962,0.193375269257441,5,5,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,2,0.25,1,5.35898423412651,0.44324615270701,0.198225705643625,5,5,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,3,0.5,1,5.35898423412651,0.44324615270701,0.198225705643625,5,5,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,4,0.75,1,5.35898423412651,0.44324615270701,0.198225705643625,5,5,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,5,1,1,5.35898423412651,0.44324615270701,0.198225705643625,5,5,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,6,0,0.1,4.70176882388464,0.376740453782302,0.168483452906269,5,5,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,7,0.25,0.1,5.13992092481583,0.42553485569359,0.190304972825286,5,5,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,8,0.5,0.1,5.35898423412651,0.44324615270701,0.198225705643625,5,5,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,9,0.75,0.1,5.35898423412651,0.44324615270701,0.198225705643625,5,5,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,10,1,0.1,5.35898423412651,0.44324615270701,0.198225705643625,5,5,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,11,0,0.01,4.18830141767948,0.251425189665585,0.112440763069605,5,5,4.20519685065861,TRUE,TRUE
"continuous","outer",1,2,12,0.25,0.01,4.24430202550455,0.279698119920069,0.125084801864032,5,5,4.20519685065861,FALSE,FALSE
"continuous","outer",1,2,13,0.5,0.01,4.319897415374,0.299475732731614,0.13392961919989,5,5,4.20519685065861,FALSE,FALSE
