"term","estimate","std_error","statistic","p_value","conf_low","conf_high","escala"
"(Intercept)",0.154000887786247,2.35151540208959,0.0654900612810783,0.947805816839635,-4.45488460940058,4.76288638497307,"linear"
"idade",0.065197340596463,0.134669739106541,0.484127622352364,0.628473440509459,-0.198750497859763,0.329145179052689,"linear"
"imc",0.00609014530726535,0.0607702634411607,0.100215878003589,0.920206697870458,-0.113017382368421,0.125197672982951,"linear"
"cifose_toracica",-0.0351216354125182,0.0179080436038877,-1.96122123607592,0.0503191876919705,-0.070220755909711,-0.000022514915325407,"linear"
"lordose_lombar",-0.0115428342899372,0.0170637612601569,-0.67645310514799,0.499015877568587,-0.0449871918006346,0.0219015232207603,"linear"
"correcao_colete",-0.123927873842495,0.0091195854171348,-13.5892004048393,0.000000000000000000000000000000000000795931225220258,-0.141801932814016,-0.106053814870974,"linear"
"sexomasculino",-0.612243441955467,0.59932860663981,-1.02154883843784,0.307409645525368,-1.78690592587407,0.562419041963133,"linear"
"lenke2",0.245509641487174,0.971848426059204,0.252621329524299,0.800648092157195,-1.6592782720208,2.15029755499515,"linear"
"lenke3",3.74935615317449,0.797302873265754,4.70254940612107,0.0000031966545541406,2.18667123680331,5.31204106954567,"linear"
"lenke4",4.18611908574738,0.894938186779372,4.67755108407212,0.00000359631067598482,2.43207247127024,5.94016570022453,"linear"
"lenke5",1.13048428564448,0.951570527906199,1.18801943995886,0.235299750795753,-0.73455967780144,2.99552824909039,"linear"
"lenke6",2.31443434759802,0.803153579782116,2.88168341131704,0.00409824191504615,0.740282257170658,3.88858643802539,"linear"
"risser1",-2.56891366122573,0.593172504302192,-4.33080367446869,0.0000174343700414025,-3.73151040627746,-1.406316916174,"linear"
"risser2",-1.99342886344444,0.566745809274226,-3.51732439979966,0.000469154109654297,-3.10423023801093,-0.882627488877952,"linear"
"risser3",-1.26711049716004,0.56232158746177,-2.25335559831443,0.0246000250983336,-2.3692405563145,-0.164980438005581,"linear"
"risser4",-0.913373954489576,0.658075045023789,-1.38794801808137,0.165672366754151,-2.20317734186078,0.376429432881625,"linear"
"flexibilidaderigido",0.827868480037586,0.370509734796824,2.23440412568798,0.0258270717482243,0.101682743914323,1.55405421616085,"linear"
"escoliometro_maior_10_graustoracica",-0.0525009055703781,0.517548775177507,-0.101441464241456,0.919234196701707,-1.06687786516111,0.961876054020352,"linear"
"escoliometro_maior_10_grauslombar",-0.381654502303094,0.488155709289593,-0.781829434830356,0.434625817029121,-1.3384221113583,0.575113106752113,"linear"
"escoliometro_maior_10_graustoracica_lombar",2.69904565124078,0.734933356867708,3.67250394341078,0.000261819396264904,1.25860274074295,4.13948856173861,"linear"
