"metric","own","reference","tolerance","abs_difference","equivalent","reference_method"
"auc",0.86741790697182,0.86741790697182,0.000000000001,0,TRUE,"Wilcoxon-Mann-Whitney"
"brier_score",0.14771746002286,0.14771746002286,0.000000000001,0,TRUE,"Wilcoxon-Mann-Whitney"
"log_loss",0.45481499881369,0.45481499881369,0.000000000001,0,TRUE,"Wilcoxon-Mann-Whitney"
