"family","feature","variable","component","additional","n_models","selection_frequency","mean_coefficient","mean_abs_coefficient","median_coefficient","q025","q975","sign_consistency"
"continuous","cifose_toracica__linear","cifose_toracica","linear",FALSE,50,1,-0.126179846340683,0.126448464282555,-0.128855907408881,-0.16454495922433,-0.068007160796462,0.98
"logistic","cifose_toracica__linear","cifose_toracica","linear",FALSE,50,0.98,0.0737728874806482,0.0737728874806482,0.0778362684543633,0.023064369308226,0.0975542250523927,1
"continuous","cifose_toracica__spline_1","cifose_toracica","spline",TRUE,50,1,-1.81198010464649,1.81198010464649,-1.78769472619063,-1.96930716358992,-1.41131498720327,1
"logistic","cifose_toracica__spline_1","cifose_toracica","spline",TRUE,50,1,0.948004816389597,0.948004816389597,0.912235441811274,0.685888596522856,1.88126231084615,1
"continuous","cifose_toracica__spline_2","cifose_toracica","spline",TRUE,50,1,0.545275908538867,0.545275908538867,0.515409884955158,0.0629798921271991,1.42856584354338,1
"logistic","cifose_toracica__spline_2","cifose_toracica","spline",TRUE,50,1,0.206931474222968,0.228647265818573,0.209046302733654,-0.139754059595953,0.502439576530999,0.9
"continuous","cifose_toracica__spline_3","cifose_toracica","spline",TRUE,50,1,0.817830371220024,0.817830371220024,0.815164206680899,0.314911427236184,1.0806054100244,1
"logistic","cifose_toracica__spline_3","cifose_toracica","spline",TRUE,50,1,-0.616517315431876,0.616517315431876,-0.598010638473921,-0.889339783243919,-0.428354533436101,1
"continuous","cobb_inicial_maior__linear","cobb_inicial_maior","linear",TRUE,50,1,-0.29936422723585,0.29936422723585,-0.297064743658844,-0.346233272041553,-0.260375317542015,1
"logistic","cobb_inicial_maior__linear","cobb_inicial_maior","linear",TRUE,50,1,0.145511880426491,0.145511880426491,0.135862971770739,0.110539630650903,0.301486341193642,1
"continuous","cobb_inicial_maior__spline_1","cobb_inicial_maior","spline",TRUE,50,1,0.601729973814199,0.601729973814199,0.621922683831136,0.306600970130465,0.842554607144173,1
"logistic","cobb_inicial_maior__spline_1","cobb_inicial_maior","spline",TRUE,50,0.96,0.0545943569656577,0.0662971074741197,0.0460066998139661,-0.049067411643626,0.177761711235391,0.791666666666667
"continuous","cobb_inicial_maior__spline_2","cobb_inicial_maior","spline",TRUE,50,1,-1.97153689464735,1.97153689464735,-1.96815270756443,-2.77437649318491,-1.26542310897981,1
"logistic","cobb_inicial_maior__spline_2","cobb_inicial_maior","spline",TRUE,50,1,0.417371264456695,0.419123213992542,0.433826917477718,-0.00917111689475853,0.839679298543837,0.96
"continuous","cobb_inicial_maior__spline_3","cobb_inicial_maior","spline",TRUE,50,1,-1.09280717378246,1.09280717378246,-1.08627789601186,-1.33625115117858,-0.88459671198393,1
"logistic","cobb_inicial_maior__spline_3","cobb_inicial_maior","spline",TRUE,50,1,0.409195171150035,0.409195171150035,0.40857355375363,0.278921416298547,0.509728189182728,1
"continuous","correcao_colete__linear","correcao_colete","linear",FALSE,50,1,-0.704167210638736,0.704167210638736,-0.70075938091191,-0.731346893385716,-0.668174759657018,1
"logistic","correcao_colete__linear","correcao_colete","linear",FALSE,50,1,0.399431070493093,0.399431070493093,0.366518351314028,0.357454456653856,0.840083810700317,1
"continuous","correcao_colete__spline_1","correcao_colete","spline",TRUE,50,1,-3.27095786986264,3.27095786986264,-3.22164423374227,-3.52788948829471,-3.05935136089539,1
"logistic","correcao_colete__spline_1","correcao_colete","spline",TRUE,50,1,1.48879856786869,1.48879856786869,1.52275655876591,0.859762638778175,1.62370861566308,1
"continuous","correcao_colete__spline_2","correcao_colete","spline",TRUE,50,1,-0.400884738058392,0.444442504378468,-0.38387613254191,-0.961381774278308,0.214456373590653,0.92
"logistic","correcao_colete__spline_2","correcao_colete","spline",TRUE,50,0.98,0.163496347999888,0.19683048277815,0.109872413446229,-0.154104057240159,1.07064048891884,0.857142857142857
"continuous","correcao_colete__spline_3","correcao_colete","spline",TRUE,50,1,-1.34983531616424,1.34983531616424,-1.36817806544722,-1.70839476196238,-0.934775970025241,1
"logistic","correcao_colete__spline_3","correcao_colete","spline",TRUE,50,1,1.00869948783594,1.00869948783594,0.966781599143939,0.860618896385832,1.70097208207401,1
"continuous","correcao_colete_x_flexibilidade__rigido","correcao_colete_x_flexibilidade","interaction",TRUE,50,1,-0.540713146509865,0.540713146509865,-0.543725133013182,-0.660611215731821,-0.408521619902773,1
"logistic","correcao_colete_x_flexibilidade__rigido","correcao_colete_x_flexibilidade","interaction",TRUE,50,1,0.491592080424573,0.491592080424573,0.489576093365317,0.442611379681192,0.550159050764095,1
