"group","n","mean_predicted","mean_observed"
1,307,0.0304152488975697,0.0781758957654723
2,308,0.197166020367938,0.331168831168831
3,307,0.277303776789507,0.348534201954397
4,308,0.317233054111284,0.337662337662338
5,307,0.336773651791469,0.345276872964169
6,308,0.56442301840141,0.506493506493506
7,307,0.743199007061569,0.625407166123778
8,308,0.82337387524958,0.811688311688312
9,307,0.872161841163647,0.811074918566775
10,308,0.963769696299601,0.957792207792208
