"threshold","false_positive_rate","true_positive_rate"
Inf,0,0
0.999986089923119,0,0.00630914826498423
0.999890457628496,0,0.00946372239747634
0.999182159151604,0,0.0157728706624606
0.997514308656724,0,0.0220820189274448
0.996189493934309,0,0.0252365930599369
0.995653939861625,0,0.028391167192429
0.99507326213188,0,0.0347003154574132
0.99501201136455,0,0.0410094637223975
0.995008585317866,0,0.0473186119873817
0.994448290363007,0,0.0536277602523659
0.99363267370369,0,0.056782334384858
0.992555693925993,0,0.0630914826498423
0.991747632942332,0,0.0694006309148265
0.991527963412448,0,0.0757097791798107
0.99008071817576,0,0.082018927444795
0.989787940301795,0,0.0883280757097792
0.98841467251559,0,0.0946372239747634
0.987823769061665,0,0.0977917981072555
0.98736386900296,0,0.100946372239748
0.985422893442667,0,0.107255520504732
0.984448939259825,0,0.113564668769716
0.983494221516146,0,0.116719242902208
0.982561182504981,0,0.123028391167192
0.982354122566297,0,0.129337539432177
0.982108649156822,0,0.132492113564669
0.980968581904427,0,0.135646687697161
0.977860980816997,0,0.138801261829653
0.976219621133807,0,0.145110410094637
0.972506793539799,0.00671140939597315,0.145110410094637
0.971975006723015,0.00671140939597315,0.151419558359621
0.969534396168776,0.00671140939597315,0.154574132492114
0.969146257803864,0.00671140939597315,0.160883280757098
0.966743596828773,0.00671140939597315,0.167192429022082
0.963476663690557,0.00671140939597315,0.170347003154574
0.96020092256731,0.00671140939597315,0.176656151419558
0.960071557951243,0.00671140939597315,0.186119873817035
0.952976669586497,0.00671140939597315,0.192429022082019
0.951955303231447,0.00671140939597315,0.195583596214511
0.948188991617556,0.00671140939597315,0.201892744479495
0.947516357877166,0.00671140939597315,0.205047318611987
0.946244925101989,0.00671140939597315,0.20820189274448
0.946130916341737,0.00671140939597315,0.211356466876972
0.941180793043859,0.00671140939597315,0.214511041009464
0.939281366327372,0.00671140939597315,0.217665615141956
0.937826346984892,0.00671140939597315,0.22397476340694
0.936369188144351,0.00671140939597315,0.227129337539432
0.93555714605067,0.00671140939597315,0.230283911671924
0.934882448241652,0.00671140939597315,0.233438485804416
0.92636699728271,0.0100671140939597,0.233438485804416
0.922791238968469,0.0100671140939597,0.236593059936909
0.922166298101046,0.0100671140939597,0.239747634069401
0.919533693832027,0.0100671140939597,0.246056782334385
0.91917474821294,0.0100671140939597,0.252365930599369
