"group","n","mean_predicted","mean_observed"
1,63,0.0506707586949558,0.0634920634920635
2,61,0.12702664722904,0.180327868852459
3,61,0.218160110324548,0.147540983606557
4,61,0.334901933601598,0.278688524590164
5,63,0.447179671470861,0.46031746031746
6,60,0.579604585514587,0.633333333333333
7,61,0.696265401788719,0.737704918032787
8,62,0.816415295017833,0.758064516129032
9,62,0.907125000631593,0.935483870967742
10,61,0.984295896711577,0.967213114754098
