"term","estimate","std_error","statistic","p_value","conf_low","conf_high","escala"
"(Intercept)",-3.23003250529996,1.4499784731501,-2.22764169614372,0.0259044178392243,-6.07193809103252,-0.388126919567391,"logit"
"idade",-0.0816966921855274,0.0854264098204235,-0.956339993185521,0.338900490712135,-0.249129378762116,0.0857359943910614,"logit"
"imc",0.0558978852735618,0.0361826604010305,1.54488046633436,0.122375179120227,-0.0150188259773015,0.126814596524425,"logit"
"cifose_toracica",0.0207899780986713,0.0111269847652106,1.86842873764623,0.0617023345383992,-0.00101851129766736,0.04259846749501,"logit"
"lordose_lombar",-0.00984075907997545,0.0108290001817997,-0.908741242475439,0.363486728571038,-0.0310652094248806,0.0113836912649297,"logit"
"correcao_colete",0.0956014397061875,0.00917865545271792,10.4156257088699,0.000000000000000000000000210409379944543,0.0776116055923582,0.113591273820017,"logit"
"sexomasculino",1.09622819163554,0.389606823888514,2.8136781093681,0.00489782450417086,0.332612848683017,1.85984353458807,"logit"
"lenke2",-0.902623677854922,0.624050293872447,-1.44639572598201,0.148066239956251,-2.12573977838655,0.32049242267671,"logit"
"lenke3",-1.80828073701834,0.514460607102708,-3.51490612119372,0.000439909468887199,-2.81660499840426,-0.799956475632425,"logit"
"lenke4",-2.0469481218535,0.587774653458885,-3.48253894550879,0.000496682969024638,-3.19896527365842,-0.894930970048573,"logit"
"lenke5",-0.986303986811524,0.606919115718147,-1.62509955819148,0.104141347031768,-2.17584359514799,0.203235621524942,"logit"
"lenke6",-1.59458414211578,0.527746807895637,-3.0214946225333,0.00251530108029079,-2.62894887854721,-0.560219405684355,"logit"
"risser1",1.83345246640352,0.396932445734789,4.61905416426589,0.00000385493227482731,1.05547916846794,2.61142576433911,"logit"
"risser2",0.902247707835656,0.363300949729926,2.48347192184985,0.0130108591155508,0.190190930815804,1.61430448485551,"logit"
"risser3",0.187033479963831,0.358046735865861,0.52237169405142,0.60141156031274,-0.514725227115383,0.888792187043045,"logit"
"risser4",0.693525909402579,0.413698253815912,1.67640521323347,0.0936588484783475,-0.117307768543718,1.50435958734888,"logit"
"flexibilidaderigido",-0.436800700285599,0.231202382237482,-1.8892569188017,0.0588574111913877,-0.889949042610927,0.0163476420397296,"logit"
"escoliometro_maior_10_graustoracica",-0.00270657026616162,0.332381043877187,-0.00814297420391303,0.993502918405207,-0.654161445409276,0.648748304876953,"logit"
"escoliometro_maior_10_grauslombar",0.0183122863215969,0.293458396535402,0.0624016437689073,0.95024298597472,-0.556855601848665,0.593480174491858,"logit"
"escoliometro_maior_10_graustoracica_lombar",-1.17273253385019,0.462951340652699,-2.53316586619404,0.0113037450795784,-2.08010048812401,-0.265364579576364,"logit"
