"scope","repeat_id","outer_fold","n","events","nonevents","auc","brier_score","log_loss","calibration_intercept","calibration_slope"
"outer_fold",1,1,62,32,30,0.7828125,0.198430468593955,1.11082272752902,0.167528660242314,0.0619197061344248
"outer_fold",2,1,62,32,30,0.778645833333333,0.179257668112069,0.538887473147622,0.18378322002745,0.986824136043754
"outer_fold",3,1,62,32,30,0.780729166666667,0.192410171079514,1.58785401844308,,0.0518644774720671
"outer_fold",4,1,62,32,30,0.832291666666667,0.169583898173362,0.511113589483912,-0.521291564475985,0.926069156946113
"outer_fold",5,1,62,32,30,0.7953125,0.177408641057493,0.518324531846933,0.257019904468559,0.82391505134176
"outer_fold",1,2,62,32,30,0.775520833333333,0.195245974044675,0.574775462265502,-0.0905373675446105,0.640432143158082
"outer_fold",2,2,62,32,30,0.760416666666667,0.181471321502553,0.547798525385837,-0.121843622669825,1.01802153562693
"outer_fold",3,2,62,32,30,0.808333333333333,0.185131161724992,0.537601496324791,0.248454436258141,0.72114197892313
"outer_fold",4,2,62,32,30,0.852083333333333,0.161954091219997,0.491679095378637,0.441929806242027,0.768501771895736
"outer_fold",5,2,62,32,30,0.7765625,0.196617456447561,0.590321097889453,0.0591065898051258,0.613318521871425
"outer_fold",1,3,62,32,30,0.819791666666667,0.168629415401395,0.489289672441727,-0.175975731220447,1.03184267399624
"outer_fold",2,3,62,32,30,0.841666666666667,0.16788440599339,0.505864122056064,-0.154836157548079,1.00538603120114
"outer_fold",3,3,62,32,30,0.818229166666667,0.160433280968272,0.485653621481178,0.0208653438254324,1.09564102482491
"outer_fold",4,3,62,32,30,0.816666666666667,0.164434758028874,0.486485142929946,0.11273020156702,1.46362815072364
"outer_fold",5,3,62,32,30,0.834895833333333,0.16782840694718,0.503040244275452,-0.0192542603953342,0.852611262131474
"outer_fold",1,4,62,32,30,0.825520833333333,0.173923041978033,0.509469997273283,0.247734591188266,0.820232876289986
"outer_fold",2,4,62,32,30,0.7796875,0.189768829614532,0.551203930638493,0.145204206215837,0.715968781939011
"outer_fold",3,4,62,32,30,0.7546875,0.201106948593559,0.587847292054891,-0.0862184910282805,0.689184474011674
"outer_fold",4,4,62,32,30,0.840625,0.16002057519175,1.50321838581314,0.0674299668603999,0.0275957928612999
"outer_fold",5,4,62,32,30,0.790104166666667,0.176342884005793,0.52571829325618,-0.357947836004051,0.898699679752315
"outer_fold",1,5,62,32,30,0.764583333333333,0.185266174401632,0.565392380222677,-0.097927638400345,0.814788536990692
"outer_fold",2,5,62,32,30,0.714583333333333,0.218604475951723,0.649397880365868,-0.0423563993144108,0.538646708639939
"outer_fold",3,5,62,32,30,0.7765625,0.197830738026967,0.559723008939282,-0.0307760616761365,0.667120895449701
"outer_fold",4,5,62,32,30,0.857291666666667,0.154839284251705,0.44520008379561,0.252391899334743,1.06772046957202
"outer_fold",5,5,62,32,30,0.755208333333333,0.215124596445204,0.669887157215885,0.0815052030057499,0.448156132179917
"outer_fold",1,6,62,32,30,0.75,0.189901955267526,0.561947801061232,0.0739860900158187,0.882463177015249
"outer_fold",2,6,62,32,30,0.822916666666667,0.173778801128856,0.528865315107497,0.453129208922541,0.91456507786068
"outer_fold",3,6,62,32,30,0.8203125,0.164031975101475,0.497757848465795,-0.24550869431,0.962127778852841
"outer_fold",4,6,62,32,30,0.738541666666667,0.205025337134845,0.614977969958251,0.164229822265776,0.655856447437069
"outer_fold",5,6,62,32,30,0.900520833333333,0.145883248446227,0.435471006454893,-0.632212897180028,1.11413390826385
"outer_fold",1,7,62,32,30,0.790625,0.175360968826553,0.520941283110084,-0.163147117148417,0.870842943630631
"outer_fold",2,7,62,32,30,0.728645833333333,0.210764918268108,1.12661887444947,0.308917222531264,0.0593243973493494
"outer_fold",3,7,62,32,30,0.769270833333333,0.189629696818241,0.554111724475434,-0.00986294488626004,0.737231546232658
"outer_fold",4,7,62,32,30,0.8046875,0.180103417482233,0.54193487123027,-0.178946323545263,0.701418842649312
"outer_fold",5,7,62,32,30,0.841145833333333,0.165044773204827,0.48770924294158,0.0975081144305787,0.855674411697146
"outer_fold",1,8,61,31,30,0.763440860215054,0.194563584570009,0.579478057236256,0.00758916462727527,0.703159141863004
"outer_fold",2,8,61,31,30,0.754301075268817,0.203889893726177,0.564895846324879,0.0606334506009172,0.683403718337522
"outer_fold",3,8,61,31,30,0.910752688172043,0.118480831185072,0.371206916677229,-0.33277228413244,1.40148007254874
"outer_fold",4,8,61,31,30,0.770967741935484,0.191945080596974,0.563244366588301,-0.372282229693667,0.769546890202019
"outer_fold",5,8,61,31,30,0.838172043010753,0.169535684255149,0.501416774316185,0.00238558524878809,0.979510334176909
"outer_fold",1,9,60,31,29,0.741935483870968,0.210295727911271,0.619859580324423,0.0183030331581747,0.553959420850992
"outer_fold",2,9,60,31,29,0.816462736373749,0.186442228129259,0.581342346945624,-0.174693287089068,0.629906693453027
"outer_fold",3,9,60,31,29,0.830367074527253,0.158689514351014,0.466861356425349,0.081439841948623,1.15866543920406
"outer_fold",4,9,60,31,29,0.795884315906563,0.188821501483351,0.583087714150101,0.128653205110572,0.616297806830281
"outer_fold",5,9,60,31,29,0.75194660734149,0.204740212936957,0.588311081812938,-0.018249246885643,0.621114603826568
