"term","odds_ratio","conf_low","conf_high"
"(Intercept)",0.039556212980933,0.00230669828433602,0.678326244926882
"idade",0.921551430061458,0.779479118817134,1.08951865129764
"imc",1.05748969295227,0.985093394082618,1.13520652703362
"cifose_toracica",1.02100759516163,0.998982007208915,1.04351880399757
"lordose_lombar",0.99020750274891,0.96941235619266,1.01144873204542
"correcao_colete",1.10032043255436,1.08070283820872,1.12029413775148
"sexomasculino",2.99285622800882,1.39460726989895,6.42273175743608
"lenke2",0.405504350053676,0.11934464701126,1.37780606026629
"lenke3",0.16393574331036,0.0598086488787368,0.449348521301822
"lenke4",0.12912838695299,0.0408044035332937,0.408635805777093
"lenke5",0.372952584466468,0.113512354796969,1.22536115569979
"lenke6",0.202992927161605,0.0721542652888362,0.571083751080921
"risser1",6.25544613805112,2.87335164359468,13.6184537222547
"risser2",2.46513779819202,1.20948050271219,5.02439216708984
"risser3",1.20566765008353,0.597664794137936,2.43219024562864
"risser4",2.00075760113891,0.889311448951088,4.50127003676448
"flexibilidaderigido",0.646100186162383,0.410676679230488,1.01648199586414
"escoliometro_maior_10_graustoracica",0.997297089192869,0.519877825793329,1.9131446558522
"escoliometro_maior_10_grauslombar",1.01848098441267,0.573007999375771,1.81027754715506
"escoliometro_maior_10_graustoracica_lombar",0.30952001075263,0.124917658826669,0.766926293337277
