"metric","n","mean","sd","median","q025","q975"
"auc",50,0.792301782072673,0.0453059063189782,0.786458333333333,0.717747395833333,0.890794270833333
"brier_score",50,0.184853714584357,0.0228190591283348,0.185198668063312,0.14789835650246,0.220634153520959
"log_loss",50,0.609568154908871,0.232691676007298,0.552657827556963,0.437660048856554,1.41848349575631
"calibration_intercept",49,0.0152254649751518,0.245842644033971,0.0183030331581747,-0.491489697519521,0.50297311777155
"calibration_slope",50,0.760656149557234,0.30657770234129,0.752866659064197,0.0535429594444556,1.35298606555503
