term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-0.12390667329845044,2.3526449373755494,-0.05266696700806552,0.9580148474050505,-4.744357579123644,4.496544232526743
idade,0.059025819235152696,0.13489544405263862,0.43756718138026784,0.6618580532493156,-0.20590059051029413,0.32395222898059955
imc,0.015292518039478578,0.06082904497517193,0.2514015803753025,0.8015900120789301,-0.1041720095188292,0.13475704559778634
cifose_toracica,-0.037070680659353025,0.017877327388945253,-2.0736142406988813,0.03854266167579744,-0.07218065931177563,-0.001960702006930423
lordose_lombar,-0.008836249218434292,0.017035635782439183,-0.518692071800628,0.6041673706222316,-0.04229319698467279,0.02462069854780421
correcao_colete,-0.12311027571682887,0.00912697512182751,-13.48861743058836,2.1578198752101026e-36,-0.14103509718017077,-0.10518545425348695
sexomasculino,-0.6265757643591467,0.6010611954228791,-1.0424492033932033,0.29762470828501947,-1.807023226161879,0.5538716974435856
lenke2,0.22402884341361537,0.9746623614939042,0.22985276980454786,0.8182847776303126,-1.690148480794897,2.1382061676221276
lenke3,3.7357801191334086,0.7997337376897667,4.6712798811328815,3.700001976561916e-6,2.1651519235971595,5.306408314669658
lenke4,4.152091087021994,0.8975775290793956,4.625885734105448,4.575304559123138e-6,2.3893036636424245,5.914878510401563
lenke5,1.1386653449613673,0.9542246487803109,1.1932885473214387,0.23322958784056566,-0.7353735602616356,3.0127042501843704
lenke6,2.3356765652735922,0.8044558858772108,2.903424048823606,0.0038272323867018817,0.7557743592296395,3.915578771317545
risser1,-2.5860288030764216,0.5902214419793201,-4.381455194857237,1.3922618362101395e-5,-3.7451876514460176,-1.4268699547068258
risser2,-1.941918510812629,0.566593719200736,-3.427356225466091,6.513495861081572e-4,-3.0546739553448914,-0.8291630662803664
risser3,-1.2655435372042751,0.5638672314980484,-2.24439986314164,0.025171579646447957,-2.3729443264821595,-0.15814274792639083
risser4,-0.8922827384304867,0.6597929405661188,-1.3523678165833144,0.17676885110399868,-2.18807575907071,0.4035102822097366
flexibilidaderigido,0.9069386196013162,0.3701584142160697,2.4501364409669097,0.014565741414747053,0.17997011147983588,1.6339071277227966
escoliometro_maior_10_grauslombar,-0.3993565904147609,0.48863281640817047,-0.8172938390637392,0.41408601992340877,-1.35900158542518,0.5602884045956582
escoliometro_maior_10_graustoracica,-0.033988696371096964,0.5177205214928006,-0.06565066471209914,0.9476778925909224,-1.0507601668523878,0.982782774110194
escoliometro_maior_10_graustoracica_lombar,2.6999747183655285,0.7371634551207461,3.6626540553658855,2.717509037153009e-4,1.2522307346289032,4.1477187021021535
