term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-5.7932908887345825e-15,0.2839058224553666,-2.0405678328930212e-14,0.9999999999999838,-0.5575406486683453,0.5575406486683337
previsto,0.999999999999999,0.04933087473248573,20.271280520016234,2.1966971980096508e-70,0.9031229171002615,1.0968770828997365
