term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-3.142370074230495,1.4429762235136396,-2.177700521342507,0.029428340081314702,-5.994502253654943,-0.3254877573797937
idade,-0.07516238938965282,0.08504489405897,-0.8837966137924204,0.3768060146676962,-0.24304047822758237,0.0909411138318385
imc,0.052457594543401966,0.036076339902920605,1.454071967515618,0.14592635451717156,-0.01865264516958748,0.12322492089060909
cifose_toracica,0.021711931097064076,0.011042406101329238,1.9662318970908421,0.049271829511811006,1.9819038926803404e-4,0.04357425314754837
lordose_lombar,-0.010787401593128508,0.010737224663896735,-1.00467317494068,0.31505424908445623,-0.031956528069822944,0.010221218522813534
correcao_colete,0.09509843295259772,0.00913919293797639,10.405561366084314,2.338735338115721e-25,0.07795140932844029,0.1138093498948128
sexomasculino,1.1145370166392694,0.38925674543094546,2.863243937893401,0.0041932759352925056,0.3618511216752531,1.8934951016787462
lenke2,-0.8894527619026303,0.622857576002272,-1.4280194962249058,0.15328624699031496,-2.1298985104192543,0.3245180175734271
lenke3,-1.7997246441676473,0.513116556050351,-3.507438267088471,4.524433172145341e-4,-2.845325266135432,-0.8239179226988737
lenke4,-2.027535996511113,0.5854882832639302,-3.4629830424755523,5.342220624509076e-4,-3.2161191947867254,-0.9117349108760973
lenke5,-1.0028979891515128,0.6049948869244558,-1.6576966364952803,0.09737871306735804,-2.214606554264845,0.16650461653249296
lenke6,-1.6326804136270312,0.5249736683736462,-3.1100234392422568,0.0018707249829543185,-2.7010802753305043,-0.6335315746973824
risser1,1.8184324225089112,0.3910173511383135,4.650515935456998,3.3110565882804933e-6,1.0651764117898286,2.6011060957757235
risser2,0.8487974537628569,0.36035935930917484,2.35541947735183,0.01850180647829459,0.1469128434724631,1.562574900281626
risser3,0.1759595487206471,0.35724829199241465,0.4925413295590597,0.622336712305678,-0.5243690740098413,0.8789769000039847
risser4,0.6709895877754821,0.41199132555104734,1.6286497946965728,0.1033871765789941,-0.1318521640654773,1.4866726895252296
flexibilidaderigido,-0.48620358129029434,0.22968779363284364,-2.1168020015355786,0.03427665542428569,-0.9394880438047795,-0.03743123856109744
escoliometro_maior_10_grauslombar,0.026509616661232138,0.29221994741827056,0.09071802556752726,0.927716647358944,-0.5475796514114174,0.599952245278343
escoliometro_maior_10_graustoracica,-0.03883448555036848,0.32980415014574566,-0.11775014211678934,0.9062656354387085,-0.6846361806524287,0.6109510403975834
escoliometro_maior_10_graustoracica_lombar,-1.1697414063779576,0.46181326782553483,-2.5329315718574503,0.0113113031727082,-2.0969997771709776,-0.2790097767483696
