term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),4.490491466043584,2.5262443384367756,1.7775364788436387,0.07598901211362118,-0.4709149098664476,9.451897841953615
cobb_inicial_maior,0.8480636263276473,0.03332361290262794,25.449330143334127,2.569061332692326e-97,0.7826178644082906,0.913509388247004
idade,0.10633572908522296,0.13312245888684557,0.7987812873529372,0.42473489884065074,-0.15510953424457605,0.36778099241502193
imc,0.028659460583748533,0.059918676690399325,0.478305966799507,0.6326075540018481,-0.08901755903177866,0.14633648019927573
cifose_toracica,-0.0429717149021014,0.017636237705549215,-2.4365579337014958,0.015118995338880059,-0.077608325806303,-0.008335103997899801
lordose_lombar,-0.005000868687244171,0.016781678146846432,-0.29799574532919526,0.7658100882936906,-0.03795917113227019,0.027957433757781848
correcao_colete,-0.1301123847577412,0.009109992347959216,-14.282381344358479,5.0689315681229266e-40,-0.14800391386755998,-0.11222085564792242
sexomasculino,-0.8919779296836389,0.5942145826686864,-1.5011040719964541,0.13385733095692529,-2.0589830266393156,0.2750271672720378
lenke2,0.0941887876924962,0.9593484163744588,0.09817995848520987,0.9218223505181178,-1.7899192842387859,1.9782968596237784
lenke3,3.4730138996665154,0.788929214354464,4.402186959838071,1.2697553433228887e-5,1.923599864497609,5.022427934835422
lenke4,3.9814577365144466,0.8838780751921659,4.504532749778671,8.003819440753096e-6,2.245569306775667,5.717346166253226
lenke5,0.5890068423720847,0.9465265389203749,0.6222824381067186,0.5339937575186253,-1.2699197601407668,2.447933444884936
lenke6,2.1728259026663173,0.7922728249738132,2.742522315766838,0.0062798590021119274,0.6168451982354559,3.7288066070971784
risser1,-2.3813060628282106,0.5824252100096575,-4.088604033449591,4.934398436316104e-5,-3.525157473583177,-1.2374546520732437
risser2,-1.877655558047167,0.5576237689655156,-3.3672444801456884,8.080627966984825e-4,-2.9727982885466426,-0.7825128275476916
risser3,-1.1193818428364375,0.555688586359322,-2.0144049568666462,0.044414994234216694,-2.210723980030334,-0.028039705642541213
risser4,-1.0616854167021272,0.6502024821142527,-1.632853527796237,0.1030270763352506,-2.338647700718708,0.2152768673144534
flexibilidaderigido,1.249053542087288,0.3718315161744649,3.3591922356071255,8.315259216029873e-4,0.518796683301475,1.9793104008731008
escoliometro_maior_10_grauslombar,0.12684433161605058,0.4944023069370304,0.2565609622695513,0.7976061018556376,-0.8441348886362031,1.0978235518683044
escoliometro_maior_10_graustoracica,0.5023950256506201,0.5227705176313437,0.9610240224084473,0.3369291527038598,-0.5242978163089537,1.529087867610194
escoliometro_maior_10_graustoracica_lombar,3.243081496745889,0.7349782479211415,4.412486363941822,1.2126316161003499e-5,1.799624223073152,4.686538770418625
