term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.04318033592724056,1.4429762235136396,-2.177700521342507,0.029428340081314702,0.002492417256538241,0.7221750215265104
idade,0.927592842861835,0.08504489405897,-0.8837966137924204,0.3768060146676962,0.7842397684932363,1.0952045109625692
imc,1.0538578718067448,0.036076339902920605,1.454071967515618,0.14592635451717156,0.9815202388329198,1.1311388090861556
cifose_toracica,1.0219493502356223,0.011042406101329238,1.9662318970908421,0.049271829511811006,1.0001982100302809,1.0445375516334943
lordose_lombar,0.9892705737683344,0.010737224663896735,-1.00467317494068,0.31505424908445623,0.9685486858448691,1.0102736336066536
correcao_colete,1.0997671031215608,0.00913919293797639,10.405561366084314,2.338735338115721e-25,1.0810701274703334,1.1205384737406088
sexomasculino,3.04815660665082,0.38925674543094546,2.863243937893401,0.0041932759352925056,1.435985138983579,6.642544525005507
lenke2,0.41088054072581726,0.622857576002272,-1.4280194962249058,0.15328624699031496,0.11884935521158047,1.3833637282657705
lenke3,0.1653444105016648,0.513116556050351,-3.507438267088471,4.524433172145341e-4,0.058115360706455746,0.438709453258187
lenke4,0.1316595313480182,0.5854882832639302,-3.4629830424755523,5.342220624509076e-4,0.04011041732319449,0.4018264858112938
lenke5,0.3668148738392027,0.6049948869244558,-1.6576966364952803,0.09737871306735804,0.10919646868268765,1.1811689887628032
lenke6,0.19540510503753733,0.5249736683736462,-3.1100234392422568,0.0018707249829543185,0.0671329514823878,0.5307142306198878
risser1,6.162191162589928,0.3910173511383135,4.650515935456998,3.3110565882804933e-6,2.9013507713981492,13.478638457895906
risser2,2.3368350094321233,0.36035935930917484,2.35541947735183,0.01850180647829459,1.1582530093202303,4.77109052460886
risser3,1.1923898239812316,0.35724829199241465,0.4925413295590597,0.622336712305678,0.591928709785091,2.408434376291847
risser4,1.956172167191184,0.41199132555104734,1.6286497946965728,0.1033871765789941,0.8764705593462326,4.422356458918235
flexibilidaderigido,0.6149566009108322,0.22968779363284364,-2.1168020015355786,0.03427665542428569,0.39082787089920656,0.9632606506320363
escoliometro_maior_10_grauslombar,1.0268641222185948,0.29221994741827056,0.09071802556752726,0.927716647358944,0.5783479213151165,1.8220317876920205
escoliometro_maior_10_graustoracica,0.9619099059599968,0.32980415014574566,-0.11775014211678934,0.9062656354387085,0.5042736607191428,1.8421825559694835
escoliometro_maior_10_graustoracica_lombar,0.31044721055510494,0.46181326782553483,-2.5329315718574503,0.0113113031727082,0.12282437651196815,0.7565325067509389
