modelo,n,r2,r2_ajustado,rmse,mae
Mudança no Cobb,618,0.4001508273542676,0.3810920743772276,4.145584333592783,3.296569885570889
Cobb em seis meses ajustado pelo basal,618,0.7167512978961772,0.7072622291489803,4.075238908537013,3.282451046797394
