variavel,categoria,n,percentual
sexo,feminino,556,89.5330112721417
sexo,masculino,65,10.466988727858293
lenke,1,37,5.958132045088567
lenke,2,41,6.602254428341385
lenke,3,137,22.061191626409016
lenke,4,60,9.66183574879227
lenke,5,55,8.856682769726248
lenke,6,288,46.3768115942029
lenke,NA,3,0.4830917874396135
risser,0,132,21.256038647342994
risser,1,95,15.297906602254429
risser,2,124,19.96779388083736
risser,3,127,20.45088566827697
risser,4,143,23.027375201288244
flexibilidade,flexivel,393,63.28502415458937
flexibilidade,rigido,228,36.71497584541063
escoliometro_maior_10_graus,normal,147,23.67149758454106
escoliometro_maior_10_graus,lombar,204,32.85024154589372
escoliometro_maior_10_graus,toracica,224,36.07085346215781
escoliometro_maior_10_graus,toracica_lombar,46,7.407407407407407
