variavel,n,missing,media,dp,mediana,q1,q3,minimo,maximo,n_valores_unicos
cifose_toracica,621,0,22.85668276972625,11.461031083387047,22,14,30,0,68,55
correcao_colete,621,0,47.03121455122654,19.616112608156627,45.2380952380952,32.4324324324324,57.1428571428571,3.7037037037037,142.424242424242,205
idade,621,0,13.188405797101447,1.7033915512877813,13,12,14,10,18,9
imc,621,0,19.20983845531872,2.9211820300800504,18.93860561914672,17.094017094017094,20.833333333333332,13.259093094055439,34.06504378689093,333
lordose_lombar,621,0,54.53462157809984,11.633967622390207,55,47,63,17,82,57
