incluído_linear,n_disponivel,media,dp,mediana,variavel
FALSE,3,16,2.6457513110645907,17,idade
TRUE,618,13.174757281553399,1.6894784583567746,13,idade
FALSE,3,18.401960376948193,3.470746061772848,18.19548277362446,imc
TRUE,618,19.21376019356324,2.9210544871416237,18.950266521649507,imc
FALSE,3,19,17.320508075688775,9,cifose_toracica
TRUE,618,22.87540453074434,11.443285996888829,22,cifose_toracica
FALSE,3,56.333333333333336,12.096831541082704,52,lordose_lombar
TRUE,618,54.52588996763754,11.641183652196972,55,lordose_lombar
FALSE,3,49.990903183885635,30.78252103195418,63.1578947368421,correcao_colete
TRUE,618,47.01684713067965,19.584394431931724,45.2380952380952,correcao_colete
FALSE,3,30,7,27,cobb_inicial_maior
TRUE,618,36.66828478964401,5.593321785217937,38,cobb_inicial_maior
FALSE,3,27,7.211102550927978,29,maior_curva_6_meses
TRUE,618,32.01456310679612,7.663387131090966,32,maior_curva_6_meses
FALSE,3,-3,4.358898943540674,-5,delta
TRUE,618,-4.653721682847893,5.356935013538033,-5,delta
